# version=PROB-62-v1.0.0
# fields=id|category|name|speeds|N|A|B|safeA|firstA|safeB|firstB|fullQ2A|fullQ3A|fullQ2B|fullQ3B|robH_A|robQ2A|robQ3A|robH_B|robQ2B|robQ3B|sliceBest|sliceDeficits|affineMargin|affineH|affinePairs|affineUnion|residual
000020|box_n2_H30|b000008|1,9|3|1|9|0|-1|6|10|0|0|6|6|0,0,0,0|0|0|6,0,0,0|6|6|3|3,3|-1|-1|0|0|0
000021|box_n2_H30|b000009|1,10|3|1|10|2|1|8|10|2|2|8|8|2,0,0,0|2|2|8,0,0,0|8|8|5|5,5|2|0|2|0|0
000022|box_n2_H30|b000010|1,11|3|1|11|2|1|8|11|2|2|8|8|2,0,0,0|2|2|8,0,0,0|8|8|5|5,5|2|0|2|0|0
000023|box_n2_H30|b000011|1,12|3|1|12|0|-1|8|13|0|0|8|8|0,0,0,0|0|0|8,0,0,0|8|8|4|4,4|-1|-1|0|0|0
000024|box_n2_H30|b000012|1,13|3|1|13|2|1|10|13|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|2|0|2|0|0
000025|box_n2_H30|b000013|1,14|3|1|14|2|1|10|14|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|2|0|2|0|0
000026|box_n2_H30|b000014|1,15|3|1|15|0|-1|10|16|0|0|10|10|0,0,0,0|0|0|10,0,0,0|10|10|5|5,5|-1|-1|0|0|0
000027|box_n2_H30|b000015|1,16|3|1|16|2|1|12|16|2|2|12|12|2,0,0,0|2|2|12,0,0,0|12|12|7|7,7|2|0|2|0|0
000028|box_n2_H30|b000016|1,17|3|1|17|2|1|12|17|2|2|12|12|2,0,0,0|2|2|12,0,0,0|12|12|7|7,7|2|0|2|0|0
000029|box_n2_H30|b000017|1,18|3|1|18|0|-1|12|19|0|0|12|12|0,0,0,0|0|0|12,0,0,0|12|12|6|6,6|-1|-1|0|0|0
000030|box_n2_H30|b000018|1,19|3|1|19|2|1|14|19|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|2|0|2|0|0
000031|box_n2_H30|b000019|1,20|3|1|20|2|1|14|20|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|2|0|2|0|0
000032|box_n2_H30|b000020|1,21|3|1|21|0|-1|14|22|0|0|14|14|0,0,0,0|0|0|14,0,0,0|14|14|7|7,7|-1|-1|0|0|0
000033|box_n2_H30|b000021|1,22|3|1|22|2|1|16|22|2|2|16|16|2,0,0,0|2|2|16,0,0,0|16|16|9|9,9|2|0|2|0|0
000034|box_n2_H30|b000022|1,23|3|1|23|2|1|16|23|2|2|16|16|2,0,0,0|2|2|16,0,0,0|16|16|9|9,9|2|0|2|0|0
000035|box_n2_H30|b000023|1,24|3|1|24|0|-1|16|25|0|0|16|16|0,0,0,0|0|0|16,0,0,0|16|16|8|8,8|-1|-1|0|0|0
000036|box_n2_H30|b000024|1,25|3|1|25|2|1|18|25|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|2|0|2|0|0
000037|box_n2_H30|b000025|1,26|3|1|26|2|1|18|26|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|2|0|2|0|0
000038|box_n2_H30|b000026|1,27|3|1|27|0|-1|18|28|0|0|18|18|0,0,0,0|0|0|18,0,0,0|18|18|9|9,9|-1|-1|0|0|0
000039|box_n2_H30|b000027|1,28|3|1|28|2|1|20|28|2|2|20|20|2,0,0,0|2|2|20,0,0,0|20|20|11|11,11|2|0|2|0|0
000040|box_n2_H30|b000028|1,29|3|1|29|2|1|20|29|2|2|20|20|2,0,0,0|2|2|20,0,0,0|20|20|11|11,11|2|0|2|0|0
000041|box_n2_H30|b000029|1,30|3|1|30|0|-1|20|31|0|0|20|20|0,0,0,0|0|0|20,0,0,0|20|20|10|10,10|-1|-1|0|0|0
000042|box_n2_H30|b000030|2,3|3|2|3|2|1|2|2|2|2|2|2|2,0,0,0|2|2|2,0,0,0|2|2|2|2,2|1|1|1|0|1
000043|box_n2_H30|b000031|2,5|3|2|5|2|2|4|4|2|2|4|4|2,0,0,0|2|2|4,0,0,0|4|4|3|3,3|2|0|2|0|0
000044|box_n2_H30|b000032|2,7|3|2|7|2|2|6|4|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|2|0|2|0|0
000045|box_n2_H30|b000033|2,9|3|2|9|2|1|6|5|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|1|1|1|0|0
000046|box_n2_H30|b000034|2,11|3|2|11|2|2|8|7|2|2|8|8|2,0,0,0|2|2|8,0,0,0|8|8|5|5,5|2|0|2|0|0
000047|box_n2_H30|b000035|2,13|3|2|13|2|2|10|7|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|2|0|2|0|0
000048|box_n2_H30|b000036|2,15|3|2|15|2|1|10|8|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|1|1|1|0|0
000049|box_n2_H30|b000037|2,17|3|2|17|2|2|12|10|2|2|12|12|2,0,0,0|2|2|12,0,0,0|12|12|7|7,7|2|0|2|0|0
000050|box_n2_H30|b000038|2,19|3|2|19|2|2|14|10|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|2|0|2|0|0
000051|box_n2_H30|b000039|2,21|3|2|21|2|1|14|11|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|1|1|1|0|0
000052|box_n2_H30|b000040|2,23|3|2|23|2|2|16|13|2|2|16|16|2,0,0,0|2|2|16,0,0,0|16|16|9|9,9|2|0|2|0|0
000053|box_n2_H30|b000041|2,25|3|2|25|2|2|18|13|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|2|0|2|0|0
000054|box_n2_H30|b000042|2,27|3|2|27|2|1|18|14|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|1|1|1|0|0
000055|box_n2_H30|b000043|2,29|3|2|29|2|2|20|16|2|2|20|20|2,0,0,0|2|2|20,0,0,0|20|20|11|11,11|2|0|2|0|0
000056|box_n2_H30|b000044|3,4|3|3|4|2|1|2|2|2|2|2|2|2,0,0,0|2|2|2,0,0,0|2|2|2|2,2|1|2|1|0|1
000057|box_n2_H30|b000045|3,5|3|3|5|2|1|4|2|2|2|4|4|2,0,0,0|2|2|4,0,0,0|4|4|3|3,3|1|1|1|0|0
000058|box_n2_H30|b000046|3,7|3|3|7|2|2|4|4|2|2|4|4|2,0,0,0|2|2|4,0,0,0|4|4|3|3,3|1|2|1|0|0
000059|box_n2_H30|b000047|3,8|3|3|8|2|4|6|4|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|1|1|1|0|0
000060|box_n2_H30|b000048|3,10|3|3|10|2|4|6|4|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|1|2|1|0|0
000061|box_n2_H30|b000049|3,11|3|3|11|2|2|8|4|2|2|8|8|2,0,0,0|2|2|8,0,0,0|8|8|5|5,5|1|1|1|0|0
000062|box_n2_H30|b000050|3,13|3|3|13|2|1|8|5|2|2|8|8|2,0,0,0|2|2|8,0,0,0|8|8|5|5,5|1|2|1|0|0
000063|box_n2_H30|b000051|3,14|3|3|14|2|1|10|5|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|1|1|1|0|0
000064|box_n2_H30|b000052|3,16|3|3|16|2|2|10|7|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|1|2|1|0|0
000065|box_n2_H30|b000053|3,17|3|3|17|2|4|12|7|2|2|12|12|2,0,0,0|2|2|12,0,0,0|12|12|7|7,7|1|1|1|0|0
000066|box_n2_H30|b000054|3,19|3|3|19|2|4|12|7|2|2|12|12|2,0,0,0|2|2|12,0,0,0|12|12|7|7,7|1|2|1|0|0
000067|box_n2_H30|b000055|3,20|3|3|20|2|2|14|7|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|1|1|1|0|0
000068|box_n2_H30|b000056|3,22|3|3|22|2|1|14|8|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|1|2|1|0|0
000069|box_n2_H30|b000057|3,23|3|3|23|2|1|16|8|2|2|16|16|2,0,0,0|2|2|16,0,0,0|16|16|9|9,9|1|1|1|0|0
000070|box_n2_H30|b000058|3,25|3|3|25|2|2|16|10|2|2|16|16|2,0,0,0|2|2|16,0,0,0|16|16|9|9,9|1|2|1|0|0
000071|box_n2_H30|b000059|3,26|3|3|26|2|4|18|10|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|1|1|1|0|0
000072|box_n2_H30|b000060|3,28|3|3|28|2|4|18|10|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|1|2|1|0|0
000073|box_n2_H30|b000061|3,29|3|3|29|2|2|20|10|2|2|20|20|2,0,0,0|2|2|20,0,0,0|20|20|11|11,11|1|1|1|0|0
000074|box_n2_H30|b000062|4,5|3|4|5|4|1|4|2|4|4|4|4|4,0,0,0|4|4|4,0,0,0|4|4|4|4,4|2|0|2|0|0
000075|box_n2_H30|b000063|4,7|3|4|7|4|1|6|2|4|4|6|6|4,0,0,0|4|4|6,0,0,0|6|6|5|5,5|2|0|2|0|0
000076|box_n2_H30|b000064|4,9|3|4|9|2|2|6|4|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|1|2|1|0|0
000077|box_n2_H30|b000065|4,11|3|4|11|4|4|8|4|4|4|8|8|4,0,0,0|4|4|8,0,0,0|8|8|6|6,6|2|0|2|0|0
000078|box_n2_H30|b000066|4,13|3|4|13|4|4|10|4|4|4|10|10|4,0,0,0|4|4|10,0,0,0|10|10|7|7,7|2|0|2|0|0
000079|box_n2_H30|b000067|4,15|3|4|15|2|2|10|4|2|2|10|10|2,0,0,0|2|2|10,0,0,0|10|10|6|6,6|1|2|1|0|0
000080|box_n2_H30|b000068|4,17|3|4|17|4|1|12|5|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|2|0|2|0|0
000081|box_n2_H30|b000069|4,19|3|4|19|4|1|14|5|4|4|14|14|4,0,0,0|4|4|14,0,0,0|14|14|9|9,9|2|0|2|0|0
000082|box_n2_H30|b000070|4,21|3|4|21|2|2|14|7|2|2|14|14|2,0,0,0|2|2|14,0,0,0|14|14|8|8,8|1|2|1|0|0
000083|box_n2_H30|b000071|4,23|3|4|23|4|4|16|7|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|2|0|2|0|0
000084|box_n2_H30|b000072|4,25|3|4|25|4|4|18|7|4|4|18|18|4,0,0,0|4|4|18,0,0,0|18|18|11|11,11|2|0|2|0|0
000085|box_n2_H30|b000073|4,27|3|4|27|2|2|18|7|2|2|18|18|2,0,0,0|2|2|18,0,0,0|18|18|10|10,10|1|2|1|0|0
000086|box_n2_H30|b000074|4,29|3|4|29|4|1|20|8|4|4|20|20|4,0,0,0|4|4|20,0,0,0|20|20|12|12,12|2|0|2|0|0
000087|box_n2_H30|b000075|5,6|3|5|6|4|1|4|2|4|4|4|4|4,0,0,0|4|4|4,0,0,0|4|4|4|4,4|1|1|1|0|1
000088|box_n2_H30|b000076|5,7|3|5|7|4|1|6|2|4|4|6|6|4,0,0,0|4|4|6,0,0,0|6|6|5|5,5|2|0|2|0|1
000089|box_n2_H30|b000077|5,8|3|5|8|4|1|6|2|4|4|6|6|4,0,0,0|4|4|6,0,0,0|6|6|5|5,5|2|0|2|0|0
000090|box_n2_H30|b000078|5,9|3|5|9|4|1|6|2|4|4|6|6|4,0,0,0|4|4|6,0,0,0|6|6|5|5,5|1|1|1|0|0
000091|box_n2_H30|b000079|5,11|3|5|11|4|2|8|4|4|4|8|8|4,0,0,0|4|4|8,0,0,0|8|8|6|6,6|2|0|2|0|0
000092|box_n2_H30|b000080|5,12|3|5|12|4|2|8|4|4|4|8|8|4,0,0,0|4|4|8,0,0,0|8|8|6|6,6|1|1|1|0|0
000093|box_n2_H30|b000081|5,13|3|5|13|4|4|10|4|4|4|10|10|4,0,0,0|4|4|10,0,0,0|10|10|7|7,7|2|0|2|0|0
000094|box_n2_H30|b000082|5,14|3|5|14|4|5|10|4|4|4|10|10|4,0,0,0|4|4|10,0,0,0|10|10|7|7,7|2|0|2|0|0
000095|box_n2_H30|b000083|5,16|3|5|16|4|5|12|4|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|2|0|2|0|0
000096|box_n2_H30|b000084|5,17|3|5|17|4|4|12|4|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|2|0|2|0|0
000097|box_n2_H30|b000085|5,18|3|5|18|4|2|12|4|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|1|1|1|0|0
000098|box_n2_H30|b000086|5,19|3|5|19|4|2|14|4|4|4|14|14|4,0,0,0|4|4|14,0,0,0|14|14|9|9,9|2|0|2|0|0
000099|box_n2_H30|b000087|5,21|3|5|21|4|1|14|5|4|4|14|14|4,0,0,0|4|4|14,0,0,0|14|14|9|9,9|1|1|1|0|0
000100|box_n2_H30|b000088|5,22|3|5|22|4|1|16|5|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|2|0|2|0|0
000101|box_n2_H30|b000089|5,23|3|5|23|4|1|16|5|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|2|0|2|0|0
000102|box_n2_H30|b000090|5,24|3|5|24|4|1|16|5|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|1|1|1|0|0
000103|box_n2_H30|b000091|5,26|3|5|26|4|2|18|7|4|4|18|18|4,0,0,0|4|4|18,0,0,0|18|18|11|11,11|2|0|2|0|0
000104|box_n2_H30|b000092|5,27|3|5|27|4|2|18|7|4|4|18|18|4,0,0,0|4|4|18,0,0,0|18|18|11|11,11|1|1|1|0|0
000105|box_n2_H30|b000093|5,28|3|5|28|4|4|20|7|4|4|20|20|4,0,0,0|4|4|20,0,0,0|20|20|12|12,12|2|0|2|0|0
000106|box_n2_H30|b000094|5,29|3|5|29|4|5|20|7|4|4|20|20|4,0,0,0|4|4|20,0,0,0|20|20|12|12,12|2|0|2|0|0
000107|box_n2_H30|b000095|6,7|3|6|7|4|1|4|2|4|4|4|4|4,0,0,0|4|4|4,0,0,0|4|4|4|4,4|1|2|1|0|1
000108|box_n2_H30|b000096|6,11|3|6|11|4|1|8|2|4|4|8|8|4,0,0,0|4|4|8,0,0,0|8|8|6|6,6|1|1|1|0|0
000109|box_n2_H30|b000097|6,13|3|6|13|4|2|8|4|4|4|8|8|4,0,0,0|4|4|8,0,0,0|8|8|6|6,6|1|2|1|0|0
000110|box_n2_H30|b000098|6,17|3|6|17|4|7|12|4|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|1|1|1|0|0
000111|box_n2_H30|b000099|6,19|3|6|19|4|7|12|4|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|1|2|1|0|0
000112|box_n2_H30|b000100|6,23|3|6|23|4|2|16|4|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|1|1|1|0|0
000113|box_n2_H30|b000101|6,25|3|6|25|4|1|16|5|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|1|2|1|0|0
000114|box_n2_H30|b000102|6,29|3|6|29|4|1|20|5|4|4|20|20|4,0,0,0|4|4|20,0,0,0|20|20|12|12,12|1|1|1|0|0
000115|box_n2_H30|b000103|7,8|3|7|8|6|1|6|2|6|6|6|6|6,0,0,0|6|6|6,0,0,0|6|6|6|6,6|2|0|2|0|1
000116|box_n2_H30|b000104|7,9|3|7|9|4|1|6|2|4|4|6|6|4,0,0,0|4|4|6,0,0,0|6|6|5|5,5|1|2|1|0|1
000117|box_n2_H30|b000105|7,10|3|7|10|6|1|8|2|6|6|8|8|6,0,0,0|6|6|8,0,0,0|8|8|7|7,7|2|0|2|0|1
000118|box_n2_H30|b000106|7,11|3|7|11|6|1|8|2|6|6|8|8|6,0,0,0|6|6|8,0,0,0|8|8|7|7,7|2|0|2|0|0
000119|box_n2_H30|b000107|7,12|3|7|12|4|1|8|2|4|4|8|8|4,0,0,0|4|4|8,0,0,0|8|8|6|6,6|1|2|1|0|0
000120|box_n2_H30|b000108|7,13|3|7|13|6|1|10|2|6|6|10|10|6,0,0,0|6|6|10,0,0,0|10|10|8|8,8|2|0|2|0|0
000121|box_n2_H30|b000109|7,15|3|7|15|4|2|10|4|4|4|10|10|4,0,0,0|4|4|10,0,0,0|10|10|7|7,7|1|2|1|0|0
000122|box_n2_H30|b000110|7,16|3|7|16|6|2|12|4|6|6|12|12|6,0,0,0|6|6|12,0,0,0|12|12|9|9,9|2|0|2|0|0
000123|box_n2_H30|b000111|7,17|3|7|17|6|2|12|4|6|6|12|12|6,0,0,0|6|6|12,0,0,0|12|12|9|9,9|2|0|2|0|0
000124|box_n2_H30|b000112|7,18|3|7|18|4|4|12|4|4|4|12|12|4,0,0,0|4|4|12,0,0,0|12|12|8|8,8|1|2|1|0|0
000125|box_n2_H30|b000113|7,19|3|7|19|6|4|14|4|6|6|14|14|6,0,0,0|6|6|14,0,0,0|14|14|10|10,10|2|0|2|0|0
000126|box_n2_H30|b000114|7,20|3|7|20|6|7|14|4|6|6|14|14|6,0,0,0|6|6|14,0,0,0|14|14|10|10,10|2|0|2|0|0
000127|box_n2_H30|b000115|7,22|3|7|22|6|7|16|4|6|6|16|16|6,0,0,0|6|6|16,0,0,0|16|16|11|11,11|2|0|2|0|0
000128|box_n2_H30|b000116|7,23|3|7|23|6|4|16|4|6|6|16|16|6,0,0,0|6|6|16,0,0,0|16|16|11|11,11|2|0|2|0|0
000129|box_n2_H30|b000117|7,24|3|7|24|4|4|16|4|4|4|16|16|4,0,0,0|4|4|16,0,0,0|16|16|10|10,10|1|2|1|0|0
000130|box_n2_H30|b000118|7,25|3|7|25|6|2|18|4|6|6|18|18|6,0,0,0|6|6|18,0,0,0|18|18|12|12,12|2|0|2|0|0
000131|box_n2_H30|b000119|7,26|3|7|26|6|2|18|4|6|6|18|18|6,0,0,0|6|6|18,0,0,0|18|18|12|12,12|2|0|2|0|0
000132|box_n2_H30|b000120|7,27|3|7|27|4|2|18|4|4|4|18|18|4,0,0,0|4|4|18,0,0,0|18|18|11|11,11|1|2|1|0|0
000133|box_n2_H30|b000121|7,29|3|7|29|6|1|20|5|6|6|20|20|6,0,0,0|6|6|20,0,0,0|20|20|13|13,13|2|0|2|0|0
000134|box_n2_H30|b000122|7,30|3|7|30|4|1|20|5|4|4|20|20|4,0,0,0|4|4|20,0,0,0|20|20|12|12,12|1|2|1|0|0
000135|box_n2_H30|b000123|8,9|3|8|9|6|1|6|2|6|6|6|6|6,0,0,0|6|6|6,0,0,0|6|6|6|6,6|1|1|1|0|1
000136|box_n2_H30|b000124|8,11|3|8|11|6|1|8|2|6|6|8|8|6,0,0,0|6|6|8,0,0,0|8|8|7|7,7|2|0|2|0|1
000137|box_n2_H30|b000125|8,13|3|8|13|6|1|10|2|6|6|10|10|6,0,0,0|6|6|10,0,0,0|10|10|8|8,8|2|0|2|0|0
000138|box_n2_H30|b000126|8,15|3|8|15|6|1|10|2|6|6|10|10|6,0,0,0|6|6|10,0,0,0|10|10|8|8,8|1|1|1|0|0
000139|box_n2_H30|b000127|8,17|3|8|17|6|2|12|4|6|6|12|12|6,0,0,0|6|6|12,0,0,0|12|12|9|9,9|2|0|2|0|0
000140|box_n2_H30|b000128|8,19|3|8|19|6|2|14|4|6|6|14|14|6,0,0,0|6|6|14,0,0,0|14|14|10|10,10|2|0|2|0|0
000141|box_n2_H30|b000129|8,21|3|8|21|6|4|14|4|6|6|14|14|6,0,0,0|6|6|14,0,0,0|14|14|10|10,10|1|1|1|0|0
000142|box_n2_H30|b000130|8,23|3|8|23|6|8|16|4|6|6|16|16|6,0,0,0|6|6|16,0,0,0|16|16|11|11,11|2|0|2|0|0
000143|box_n2_H30|b000131|8,25|3|8|25|6|8|18|4|6|6|18|18|6,0,0,0|6|6|18,0,0,0|18|18|12|12,12|2|0|2|0|0
000144|box_n2_H30|b000132|8,27|3|8|27|6|4|18|4|6|6|18|18|6,0,0,0|6|6|18,0,0,0|18|18|12|12,12|1|1|1|0|0
000145|box_n2_H30|b000133|8,29|3|8|29|6|2|20|4|6|6|20|20|6,0,0,0|6|6|20,0,0,0|20|20|13|13,13|2|0|2|0|0
000146|box_n2_H30|b000134|9,10|3|9|10|6|1|6|2|6|6|6|6|6,0,0,0|6|6|6,0,0,0|6|6|6|6,6|1|2|1|0|1
000147|box_n2_H30|b000135|9,11|3|9|11|6|1|8|2|6|6|8|8|6,0,0,0|6|6|8,0,0,0|8|8|7|7,7|1|1|1|0|1
000148|box_n2_H30|b000136|9,13|3|9|13|6|1|8|2|6|6|8|8|6,0,0,0|6|6|8,0,0,0|8|8|7|7,7|1|2|1|0|1
000149|box_n2_H30|b000137|9,14|3|9|14|6|1|10|2|6|6|10|10|6,0,0,0|6|6|10,0,0,0|10|10|8|8,8|1|1|1|0|0
000150|box_n2_H30|b000138|9,16|3|9|16|6|1|10|2|6|6|10|10|6,0,0,0|6|6|10,0,0,0|10|10|8|8,8|1|2|1|0|0
000151|box_n2_H30|b000139|9,17|3|9|17|6|1|12|2|6|6|12|12|6,0,0,0|6|6|12,0,0,0|12|12|9|9,9|1|1|1|0|0
000152|box_n2_H30|b000140|9,19|3|9|19|6|2|12|4|6|6|12|12|6,0,0,0|6|6|12,0,0,0|12|12|9|9,9|1|2|1|0|0
000153|box_n2_H30|b000141|9,20|3|9|20|6|2|14|4|6|6|14|14|6,0,0,0|6|6|14,0,0,0|14|14|10|10,10|1|1|1|0|0
000154|box_n2_H30|b000142|9,22|3|9|22|6|2|14|4|6|6|14|14|6,0,0,0|6|6|14,0,0,0|14|14|10|10,10|1|2|1|0|0
000155|box_n2_H30|b000143|9,23|3|9|23|6|4|16|4|6|6|16|16|6,0,0,0|6|6|16,0,0,0|16|16|11|11,11|1|1|1|0|0
000156|box_n2_H30|b000144|9,25|3|9|25|6|5|16|4|6|6|16|16|6,0,0,0|6|6|16,0,0,0|16|16|11|11,11|1|2|1|0|0
000157|box_n2_H30|b000145|9,26|3|9|26|6|10|18|4|6|6|18|18|6,0,0,0|6|6|18,0,0,0|18|18|12|12,12|1|1|1|0|0
000158|box_n2_H30|b000146|9,28|3|9|28|6|10|18|4|6|6|18|18|6,0,0,0|6|6|18,0,0,0|18|18|12|12,12|1|2|1|0|0
000159|box_n2_H30|b000147|9,29|3|9|29|6|5|20|4|6|6|20|20|6,0,0,0|6|6|20,0,0,0|20|20|13|13,13|1|1|1|0|0
000160|box_n2_H30|b000148|10,11|3|10|11|8|1|8|2|8|8|8|8|8,0,0,0|8|8|8,0,0,0|8|8|8|8,8|2|0|2|0|1
000161|box_n2_H30|b000149|10,13|3|10|13|8|1|10|2|8|8|10|10|8,0,0,0|8|8|10,0,0,0|10|10|9|9,9|2|0|2|0|1
000162|box_n2_H30|b000150|10,17|3|10|17|8|1|12|2|8|8|12|12|8,0,0,0|8|8|12,0,0,0|12|12|10|10,10|2|0|2|0|0
