n,H,tuple_index,tuple,pivot_index,pivot_speed,m,b,R_size,union_size,G,min_J,margin,construction_count,best_index,memo_min_J,uniform_energy_num,uniform_energy_den,uniform_energy_strict,star_min_J,star_margin
3,10,17,"(1,4,7)",1,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,17,"(1,4,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,18,"(1,4,8)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,18,"(1,4,8)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,18,"(1,4,8)",2,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,19,"(1,4,9)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,19,"(1,4,9)",1,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,19,"(1,4,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,20,"(1,4,10)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,20,"(1,4,10)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,20,"(1,4,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,21,"(1,5,6)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,21,"(1,5,6)",1,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,21,"(1,5,6)",2,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,22,"(1,5,7)",0,1,2,2,3,0,3,0,3,1,0,0,0,1,1,0,3
3,10,22,"(1,5,7)",1,5,2,2,15,10,5,10,5,1,0,10,0,1,1,10,5
3,10,22,"(1,5,7)",2,7,2,2,21,14,7,14,7,1,0,14,0,1,1,14,7
3,10,23,"(1,5,8)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,23,"(1,5,8)",1,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,23,"(1,5,8)",2,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,24,"(1,5,9)",0,1,2,2,3,0,3,0,3,1,0,0,0,1,1,0,3
3,10,24,"(1,5,9)",1,5,2,2,15,10,5,10,5,1,0,10,0,1,1,10,5
3,10,24,"(1,5,9)",2,9,2,2,27,18,9,18,9,1,0,18,0,1,1,18,9
3,10,25,"(1,5,10)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,25,"(1,5,10)",1,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,25,"(1,5,10)",2,10,2,2,30,18,12,18,12,1,0,18,0,1,1,18,12
3,10,26,"(1,6,7)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,26,"(1,6,7)",1,6,2,2,18,14,4,14,4,1,0,14,0,1,1,14,4
3,10,26,"(1,6,7)",2,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,27,"(1,6,8)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,27,"(1,6,8)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,27,"(1,6,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,28,"(1,6,9)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,28,"(1,6,9)",1,6,2,2,18,10,8,10,8,1,0,10,0,1,1,10,8
3,10,28,"(1,6,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,29,"(1,6,10)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,29,"(1,6,10)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,29,"(1,6,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,30,"(1,7,8)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,30,"(1,7,8)",1,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,30,"(1,7,8)",2,8,2,2,24,20,4,20,4,1,0,20,0,1,1,20,4
3,10,31,"(1,7,9)",0,1,2,2,3,0,3,0,3,1,0,0,0,1,1,0,3
3,10,31,"(1,7,9)",1,7,2,2,21,16,5,16,5,1,0,16,0,1,1,16,5
3,10,31,"(1,7,9)",2,9,2,2,27,18,9,18,9,1,0,18,0,1,1,18,9
3,10,32,"(1,7,10)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,32,"(1,7,10)",1,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,32,"(1,7,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,33,"(1,8,9)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,33,"(1,8,9)",1,8,2,2,24,20,4,20,4,1,0,20,0,1,1,20,4
3,10,33,"(1,8,9)",2,9,2,2,27,23,4,23,4,1,0,23,0,1,1,23,4
3,10,34,"(1,8,10)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,34,"(1,8,10)",1,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,34,"(1,8,10)",2,10,2,2,30,24,6,24,6,1,0,24,0,1,1,24,6
3,10,35,"(1,9,10)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,35,"(1,9,10)",1,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,35,"(1,9,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,36,"(2,3,4)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,36,"(2,3,4)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,36,"(2,3,4)",2,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,37,"(2,3,5)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,37,"(2,3,5)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,37,"(2,3,5)",2,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,38,"(2,3,6)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,38,"(2,3,6)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,38,"(2,3,6)",2,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,39,"(2,3,7)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,39,"(2,3,7)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,39,"(2,3,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,40,"(2,3,8)",0,2,2,2,6,6,0,6,0,1,0,6,0,1,0,6,0
3,10,40,"(2,3,8)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,40,"(2,3,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,41,"(2,3,9)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,41,"(2,3,9)",1,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,41,"(2,3,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,42,"(2,3,10)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,42,"(2,3,10)",1,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,42,"(2,3,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,43,"(2,4,5)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,43,"(2,4,5)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,43,"(2,4,5)",2,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,44,"(2,4,7)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,44,"(2,4,7)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,44,"(2,4,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,45,"(2,4,9)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,45,"(2,4,9)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,45,"(2,4,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,46,"(2,5,6)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,46,"(2,5,6)",1,5,2,2,15,13,2,13,2,1,0,13,0,1,1,13,2
3,10,46,"(2,5,6)",2,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,47,"(2,5,7)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,47,"(2,5,7)",1,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,47,"(2,5,7)",2,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,48,"(2,5,8)",0,2,2,2,6,6,0,6,0,1,0,6,0,1,0,6,0
3,10,48,"(2,5,8)",1,5,2,2,15,13,2,13,2,1,0,13,0,1,1,13,2
3,10,48,"(2,5,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,49,"(2,5,9)",0,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,49,"(2,5,9)",1,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,49,"(2,5,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,50,"(2,5,10)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,50,"(2,5,10)",1,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,50,"(2,5,10)",2,10,2,2,30,18,12,18,12,1,0,18,0,1,1,18,12
3,10,51,"(2,6,7)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,51,"(2,6,7)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,51,"(2,6,7)",2,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,52,"(2,6,9)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,52,"(2,6,9)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,52,"(2,6,9)",2,9,2,2,27,23,4,23,4,1,0,23,0,1,1,23,4
3,10,53,"(2,7,8)",0,2,2,2,6,6,0,6,0,1,0,6,0,1,0,6,0
3,10,53,"(2,7,8)",1,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,53,"(2,7,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,54,"(2,7,9)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,54,"(2,7,9)",1,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,54,"(2,7,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,55,"(2,7,10)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,55,"(2,7,10)",1,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,55,"(2,7,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,56,"(2,8,9)",0,2,2,2,6,6,0,6,0,1,0,6,0,1,0,6,0
3,10,56,"(2,8,9)",1,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,56,"(2,8,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,57,"(2,9,10)",0,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,57,"(2,9,10)",1,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,57,"(2,9,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,58,"(3,4,5)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,58,"(3,4,5)",1,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,58,"(3,4,5)",2,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,59,"(3,4,6)",0,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,59,"(3,4,6)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,59,"(3,4,6)",2,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,60,"(3,4,7)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,60,"(3,4,7)",1,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,60,"(3,4,7)",2,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,61,"(3,4,8)",0,3,2,2,9,3,6,3,6,1,0,3,0,1,1,3,6
3,10,61,"(3,4,8)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,61,"(3,4,8)",2,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,62,"(3,4,9)",0,3,2,2,9,3,6,3,6,1,0,3,0,1,1,3,6
3,10,62,"(3,4,9)",1,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,62,"(3,4,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,63,"(3,4,10)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,63,"(3,4,10)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,63,"(3,4,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,64,"(3,5,6)",0,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,64,"(3,5,6)",1,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,64,"(3,5,6)",2,6,2,2,18,10,8,10,8,1,0,10,0,1,1,10,8
3,10,65,"(3,5,7)",0,3,2,2,9,4,5,4,5,1,0,4,0,1,1,4,5
3,10,65,"(3,5,7)",1,5,2,2,15,10,5,10,5,1,0,10,0,1,1,10,5
3,10,65,"(3,5,7)",2,7,2,2,21,14,7,14,7,1,0,14,0,1,1,14,7
3,10,66,"(3,5,8)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,66,"(3,5,8)",1,5,2,2,15,13,2,13,2,1,0,13,0,1,1,13,2
3,10,66,"(3,5,8)",2,8,2,2,24,20,4,20,4,1,0,20,0,1,1,20,4
3,10,67,"(3,5,9)",0,3,2,2,9,4,5,4,5,1,0,4,0,1,1,4,5
3,10,67,"(3,5,9)",1,5,2,2,15,10,5,10,5,1,0,10,0,1,1,10,5
3,10,67,"(3,5,9)",2,9,2,2,27,18,9,18,9,1,0,18,0,1,1,18,9
3,10,68,"(3,5,10)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,68,"(3,5,10)",1,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,68,"(3,5,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,69,"(3,6,7)",0,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,69,"(3,6,7)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,69,"(3,6,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,70,"(3,6,8)",0,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,70,"(3,6,8)",1,6,2,2,18,10,8,10,8,1,0,10,0,1,1,10,8
3,10,70,"(3,6,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,71,"(3,6,10)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,71,"(3,6,10)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,71,"(3,6,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,72,"(3,7,8)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,72,"(3,7,8)",1,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,72,"(3,7,8)",2,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,73,"(3,7,9)",0,3,2,2,9,4,5,4,5,1,0,4,0,1,1,4,5
3,10,73,"(3,7,9)",1,7,2,2,21,16,5,16,5,1,0,16,0,1,1,16,5
3,10,73,"(3,7,9)",2,9,2,2,27,18,9,18,9,1,0,18,0,1,1,18,9
3,10,74,"(3,7,10)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,74,"(3,7,10)",1,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,74,"(3,7,10)",2,10,2,2,30,24,6,24,6,1,0,24,0,1,1,24,6
3,10,75,"(3,8,9)",0,3,2,2,9,3,6,3,6,1,0,3,0,1,1,3,6
3,10,75,"(3,8,9)",1,8,2,2,24,20,4,20,4,1,0,20,0,1,1,20,4
3,10,75,"(3,8,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,76,"(3,8,10)",0,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,76,"(3,8,10)",1,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,76,"(3,8,10)",2,10,2,2,30,24,6,24,6,1,0,24,0,1,1,24,6
3,10,77,"(3,9,10)",0,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,77,"(3,9,10)",1,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,77,"(3,9,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,78,"(4,5,6)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,78,"(4,5,6)",1,5,2,2,15,13,2,13,2,1,0,13,0,1,1,13,2
3,10,78,"(4,5,6)",2,6,2,2,18,14,4,14,4,1,0,14,0,1,1,14,4
3,10,79,"(4,5,7)",0,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,79,"(4,5,7)",1,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,79,"(4,5,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,80,"(4,5,8)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,80,"(4,5,8)",1,5,2,2,15,15,0,15,0,1,0,15,0,1,0,15,0
3,10,80,"(4,5,8)",2,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,81,"(4,5,9)",0,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,81,"(4,5,9)",1,5,2,2,15,13,2,13,2,1,0,13,0,1,1,13,2
3,10,81,"(4,5,9)",2,9,2,2,27,23,4,23,4,1,0,23,0,1,1,23,4
3,10,82,"(4,5,10)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,82,"(4,5,10)",1,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,82,"(4,5,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,83,"(4,6,7)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,83,"(4,6,7)",1,6,2,2,18,14,4,14,4,1,0,14,0,1,1,14,4
3,10,83,"(4,6,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,84,"(4,6,9)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,84,"(4,6,9)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,84,"(4,6,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,85,"(4,7,8)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,85,"(4,7,8)",1,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,85,"(4,7,8)",2,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,86,"(4,7,9)",0,4,2,2,12,6,6,6,6,1,0,6,0,1,1,6,6
3,10,86,"(4,7,9)",1,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,86,"(4,7,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,87,"(4,7,10)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,87,"(4,7,10)",1,7,2,2,21,17,4,17,4,1,0,17,0,1,1,17,4
3,10,87,"(4,7,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,88,"(4,8,9)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,88,"(4,8,9)",1,8,2,2,24,16,8,16,8,1,0,16,0,1,1,16,8
3,10,88,"(4,8,9)",2,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,89,"(4,9,10)",0,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,89,"(4,9,10)",1,9,2,2,27,21,6,21,6,1,0,21,0,1,1,21,6
3,10,89,"(4,9,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,90,"(5,6,7)",0,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,90,"(5,6,7)",1,6,2,2,18,14,4,14,4,1,0,14,0,1,1,14,4
3,10,90,"(5,6,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,91,"(5,6,8)",0,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,91,"(5,6,8)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,91,"(5,6,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,92,"(5,6,9)",0,5,2,2,15,11,4,11,4,1,0,11,0,1,1,11,4
3,10,92,"(5,6,9)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,92,"(5,6,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,93,"(5,6,10)",0,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,93,"(5,6,10)",1,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
