CASE D2_UNIFORM_REJECTION speeds=(1,2,3,60)
PIVOT index=0 speed=1 modulus=4 R=3 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
41 | (41,82,117,60) | (0) | () | 1 | 0 | 0
42 | (42,84,114,120) | (0) | () | 1 | 0 | 0
43 | (43,86,111,60) | (0) | () | 1 | 0 | 0
45 | (45,90,105,60) | (0) | () | 1 | 0 | 0
46 | (46,92,102,120) | (0) | () | 1 | 0 | 0
47 | (47,94,99,60) | (0) | () | 1 | 0 | 0
49 | (49,98,93,60) | () | (0) | 0 | 1 | 1
50 | (50,100,90,120) | () | (0) | 0 | 1 | 1
51 | (51,102,87,60) | () | (0) | 0 | 1 | 1
53 | (53,106,81,60) | () | (0) | 0 | 1 | 1
54 | (54,108,78,120) | () | (0) | 0 | 1 | 1
55 | (55,110,75,60) | () | (0) | 0 | 1 | 1
57 | (57,114,69,60) | () | (0) | 0 | 1 | 1
58 | (58,116,66,120) | () | (0) | 0 | 1 | 1
59 | (59,118,63,60) | () | (0) | 0 | 1 | 1
61 | (61,118,57,60) | () | (2) | 0 | 1 | 1
62 | (62,116,54,120) | () | (2) | 0 | 1 | 1
63 | (63,114,51,60) | () | (2) | 0 | 1 | 1
65 | (65,110,45,60) | (2) | () | 1 | 0 | 0
66 | (66,108,42,120) | (2) | () | 1 | 0 | 0
67 | (67,106,39,60) | (2) | () | 1 | 0 | 0
69 | (69,102,33,60) | (2) | () | 1 | 0 | 0
70 | (70,100,30,120) | (2) | () | 1 | 0 | 0
71 | (71,98,27,60) | (2) | () | 1 | 0 | 0
73 | (73,94,21,60) | (2) | () | 1 | 0 | 0
74 | (74,92,18,120) | (2) | () | 1 | 0 | 0
75 | (75,90,15,60) | (2) | () | 1 | 0 | 0
77 | (77,86,9,60) | (2) | () | 1 | 0 | 0
78 | (78,84,6,120) | (2) | () | 1 | 0 | 0
79 | (79,82,3,60) | (2) | () | 1 | 0 | 0
81 | (81,78,3,60) | (2) | () | 1 | 0 | 0
82 | (82,76,6,120) | (2) | () | 1 | 0 | 0
83 | (83,74,9,60) | (2) | () | 1 | 0 | 0
85 | (85,70,15,60) | (2) | () | 1 | 0 | 0
86 | (86,68,18,120) | (2) | () | 1 | 0 | 0
87 | (87,66,21,60) | (2) | () | 1 | 0 | 0
89 | (89,62,27,60) | (2) | () | 1 | 0 | 0
90 | (90,60,30,120) | (2) | () | 1 | 0 | 0
91 | (91,58,33,60) | (2) | (1) | 1 | 1 | 0
93 | (93,54,39,60) | (2) | (1) | 1 | 1 | 0
94 | (94,52,42,120) | (2) | (1) | 1 | 1 | 0
95 | (95,50,45,60) | (2) | (1) | 1 | 1 | 0
97 | (97,46,51,60) | (1) | (2) | 1 | 1 | 0
98 | (98,44,54,120) | (1) | (2) | 1 | 1 | 0
99 | (99,42,57,60) | (1) | (2) | 1 | 1 | 0
101 | (101,38,63,60) | (1) | () | 1 | 0 | 0
102 | (102,36,66,120) | (1) | () | 1 | 0 | 0
103 | (103,34,69,60) | (1) | () | 1 | 0 | 0
105 | (105,30,75,60) | (1) | () | 1 | 0 | 0
106 | (106,28,78,120) | (1) | () | 1 | 0 | 0
107 | (107,26,81,60) | (1) | () | 1 | 0 | 0
109 | (109,22,87,60) | (1) | () | 1 | 0 | 0
110 | (110,20,90,120) | (1) | () | 1 | 0 | 0
111 | (111,18,93,60) | (1) | () | 1 | 0 | 0
113 | (113,14,99,60) | (1) | () | 1 | 0 | 0
114 | (114,12,102,120) | (1) | () | 1 | 0 | 0
115 | (115,10,105,60) | (1) | () | 1 | 0 | 0
117 | (117,6,111,60) | (1) | () | 1 | 0 | 0
118 | (118,4,114,120) | (1) | () | 1 | 0 | 0
119 | (119,2,117,60) | (1) | () | 1 | 0 | 0
121 | (119,2,117,60) | (1) | () | 1 | 0 | 0
122 | (118,4,114,120) | (1) | () | 1 | 0 | 0
123 | (117,6,111,60) | (1) | () | 1 | 0 | 0
125 | (115,10,105,60) | (1) | () | 1 | 0 | 0
126 | (114,12,102,120) | (1) | () | 1 | 0 | 0
127 | (113,14,99,60) | (1) | () | 1 | 0 | 0
129 | (111,18,93,60) | (1) | () | 1 | 0 | 0
130 | (110,20,90,120) | (1) | () | 1 | 0 | 0
131 | (109,22,87,60) | (1) | () | 1 | 0 | 0
133 | (107,26,81,60) | (1) | () | 1 | 0 | 0
134 | (106,28,78,120) | (1) | () | 1 | 0 | 0
135 | (105,30,75,60) | (1) | () | 1 | 0 | 0
137 | (103,34,69,60) | (1) | () | 1 | 0 | 0
138 | (102,36,66,120) | (1) | () | 1 | 0 | 0
139 | (101,38,63,60) | (1) | () | 1 | 0 | 0
141 | (99,42,57,60) | (1) | (2) | 1 | 1 | 0
142 | (98,44,54,120) | (1) | (2) | 1 | 1 | 0
143 | (97,46,51,60) | (1) | (2) | 1 | 1 | 0
145 | (95,50,45,60) | (2) | (1) | 1 | 1 | 0
146 | (94,52,42,120) | (2) | (1) | 1 | 1 | 0
147 | (93,54,39,60) | (2) | (1) | 1 | 1 | 0
149 | (91,58,33,60) | (2) | (1) | 1 | 1 | 0
150 | (90,60,30,120) | (2) | () | 1 | 0 | 0
151 | (89,62,27,60) | (2) | () | 1 | 0 | 0
153 | (87,66,21,60) | (2) | () | 1 | 0 | 0
154 | (86,68,18,120) | (2) | () | 1 | 0 | 0
155 | (85,70,15,60) | (2) | () | 1 | 0 | 0
157 | (83,74,9,60) | (2) | () | 1 | 0 | 0
158 | (82,76,6,120) | (2) | () | 1 | 0 | 0
159 | (81,78,3,60) | (2) | () | 1 | 0 | 0
161 | (79,82,3,60) | (2) | () | 1 | 0 | 0
162 | (78,84,6,120) | (2) | () | 1 | 0 | 0
163 | (77,86,9,60) | (2) | () | 1 | 0 | 0
165 | (75,90,15,60) | (2) | () | 1 | 0 | 0
166 | (74,92,18,120) | (2) | () | 1 | 0 | 0
167 | (73,94,21,60) | (2) | () | 1 | 0 | 0
169 | (71,98,27,60) | (2) | () | 1 | 0 | 0
170 | (70,100,30,120) | (2) | () | 1 | 0 | 0
171 | (69,102,33,60) | (2) | () | 1 | 0 | 0
173 | (67,106,39,60) | (2) | () | 1 | 0 | 0
174 | (66,108,42,120) | (2) | () | 1 | 0 | 0
175 | (65,110,45,60) | (2) | () | 1 | 0 | 0
177 | (63,114,51,60) | () | (2) | 0 | 1 | 1
178 | (62,116,54,120) | () | (2) | 0 | 1 | 1
179 | (61,118,57,60) | () | (2) | 0 | 1 | 1
181 | (59,118,63,60) | () | (0) | 0 | 1 | 1
182 | (58,116,66,120) | () | (0) | 0 | 1 | 1
183 | (57,114,69,60) | () | (0) | 0 | 1 | 1
185 | (55,110,75,60) | () | (0) | 0 | 1 | 1
186 | (54,108,78,120) | () | (0) | 0 | 1 | 1
187 | (53,106,81,60) | () | (0) | 0 | 1 | 1
189 | (51,102,87,60) | () | (0) | 0 | 1 | 1
190 | (50,100,90,120) | () | (0) | 0 | 1 | 1
191 | (49,98,93,60) | () | (0) | 0 | 1 | 1
193 | (47,94,99,60) | (0) | () | 1 | 0 | 0
194 | (46,92,102,120) | (0) | () | 1 | 0 | 0
195 | (45,90,105,60) | (0) | () | 1 | 0 | 0
197 | (43,86,111,60) | (0) | () | 1 | 0 | 0
198 | (42,84,114,120) | (0) | () | 1 | 0 | 0
199 | (41,82,117,60) | (0) | () | 1 | 0 | 0
201 | (39,78,117,60) | (0) | () | 1 | 0 | 0
202 | (38,76,114,120) | (0) | () | 1 | 0 | 0
203 | (37,74,111,60) | (0) | () | 1 | 0 | 0
205 | (35,70,105,60) | (0) | () | 1 | 0 | 0
206 | (34,68,102,120) | (0) | () | 1 | 0 | 0
207 | (33,66,99,60) | (0) | () | 1 | 0 | 0
209 | (31,62,93,60) | (0) | () | 1 | 0 | 0
210 | (30,60,90,120) | (0) | () | 1 | 0 | 0
211 | (29,58,87,60) | (0) | (1) | 1 | 1 | 0
213 | (27,54,81,60) | (0) | (1) | 1 | 1 | 0
214 | (26,52,78,120) | (0) | (1) | 1 | 1 | 0
215 | (25,50,75,60) | (0) | (1) | 1 | 1 | 0
217 | (23,46,69,60) | (0,1) | () | 2 | 0 | 0
218 | (22,44,66,120) | (0,1) | () | 2 | 0 | 0
219 | (21,42,63,60) | (0,1) | () | 2 | 0 | 0
221 | (19,38,57,60) | (0,1) | (2) | 2 | 1 | 0
222 | (18,36,54,120) | (0,1) | (2) | 2 | 1 | 0
223 | (17,34,51,60) | (0,1) | (2) | 2 | 1 | 0
225 | (15,30,45,60) | (0,1,2) | () | 3 | 0 | 0
226 | (14,28,42,120) | (0,1,2) | () | 3 | 0 | 0
227 | (13,26,39,60) | (0,1,2) | () | 3 | 0 | 0
229 | (11,22,33,60) | (0,1,2) | () | 3 | 0 | 0
230 | (10,20,30,120) | (0,1,2) | () | 3 | 0 | 0
231 | (9,18,27,60) | (0,1,2) | () | 3 | 0 | 0
233 | (7,14,21,60) | (0,1,2) | () | 3 | 0 | 0
234 | (6,12,18,120) | (0,1,2) | () | 3 | 0 | 0
235 | (5,10,15,60) | (0,1,2) | () | 3 | 0 | 0
237 | (3,6,9,60) | (0,1,2) | () | 3 | 0 | 0
238 | (2,4,6,120) | (0,1,2) | () | 3 | 0 | 0
239 | (1,2,3,60) | (0,1,2) | () | 3 | 0 | 0

CASE D3_UNIFORM_REJECTION speeds=(1,3,4,5,18)
PIVOT index=0 speed=1 modulus=5 R=4 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,2,1,0,2) | (3) | () | 1 | 0 | 0
2 | (2,1,2,0,1) | (3) | () | 1 | 0 | 0
3 | (2,1,2,0,1) | (3) | () | 1 | 0 | 0
4 | (1,2,1,0,2) | (3) | () | 1 | 0 | 0

PIVOT index=1 speed=3 modulus=15 R=12 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,5,3) | (0) | () | 1 | 0 | 0
2 | (2,6,7,5,6) | (0) | () | 1 | 0 | 0
3 | (3,6,3,0,6) | (3) | () | 1 | 0 | 0
4 | (4,3,1,5,3) | (2) | () | 1 | 0 | 0
6 | (6,3,6,0,3) | (3) | () | 1 | 0 | 0
7 | (7,6,2,5,6) | (2) | () | 1 | 0 | 0
8 | (7,6,2,5,6) | (2) | () | 1 | 0 | 0
9 | (6,3,6,0,3) | (3) | () | 1 | 0 | 0
11 | (4,3,1,5,3) | (2) | () | 1 | 0 | 0
12 | (3,6,3,0,6) | (3) | () | 1 | 0 | 0
13 | (2,6,7,5,6) | (0) | () | 1 | 0 | 0
14 | (1,3,4,5,3) | (0) | () | 1 | 0 | 0

PIVOT index=2 speed=4 modulus=20 R=16 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,5,2) | (0,1,4) | () | 3 | 0 | 0
2 | (2,6,8,10,4) | (0) | () | 1 | 0 | 0
3 | (3,9,8,5,6) | (0) | () | 1 | 0 | 0
4 | (4,8,4,0,8) | (3) | () | 1 | 0 | 0
6 | (6,2,4,10,8) | (1) | () | 1 | 0 | 0
7 | (7,1,8,5,6) | (1) | () | 1 | 0 | 0
8 | (8,4,8,0,4) | (3) | () | 1 | 0 | 0
9 | (9,7,4,5,2) | (4) | () | 1 | 0 | 0
11 | (9,7,4,5,2) | (4) | () | 1 | 0 | 0
12 | (8,4,8,0,4) | (3) | () | 1 | 0 | 0
13 | (7,1,8,5,6) | (1) | () | 1 | 0 | 0
14 | (6,2,4,10,8) | (1) | () | 1 | 0 | 0
16 | (4,8,4,0,8) | (3) | () | 1 | 0 | 0
17 | (3,9,8,5,6) | (0) | () | 1 | 0 | 0
18 | (2,6,8,10,4) | (0) | () | 1 | 0 | 0
19 | (1,3,4,5,2) | (0,1,4) | () | 3 | 0 | 0

PIVOT index=3 speed=5 modulus=25 R=20 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,5,7) | (0,1,2) | () | 3 | 0 | 0
2 | (2,6,8,10,11) | (0) | () | 1 | 0 | 0
3 | (3,9,12,10,4) | (0,4) | () | 2 | 0 | 0
4 | (4,12,9,5,3) | (0,4) | () | 2 | 0 | 0
6 | (6,7,1,5,8) | (2) | () | 1 | 0 | 0
7 | (7,4,3,10,1) | (1,2,4) | () | 3 | 0 | 0
8 | (8,1,7,10,6) | (1) | () | 1 | 0 | 0
9 | (9,2,11,5,12) | (1) | () | 1 | 0 | 0
11 | (11,8,6,5,2) | (4) | () | 1 | 0 | 0
12 | (12,11,2,10,9) | (2) | () | 1 | 0 | 0
13 | (12,11,2,10,9) | (2) | () | 1 | 0 | 0
14 | (11,8,6,5,2) | (4) | () | 1 | 0 | 0
16 | (9,2,11,5,12) | (1) | () | 1 | 0 | 0
17 | (8,1,7,10,6) | (1) | () | 1 | 0 | 0
18 | (7,4,3,10,1) | (1,2,4) | () | 3 | 0 | 0
19 | (6,7,1,5,8) | (2) | () | 1 | 0 | 0
21 | (4,12,9,5,3) | (0,4) | () | 2 | 0 | 0
22 | (3,9,12,10,4) | (0,4) | () | 2 | 0 | 0
23 | (2,6,8,10,11) | (0) | () | 1 | 0 | 0
24 | (1,3,4,5,7) | (0,1,2) | () | 3 | 0 | 0

PIVOT index=4 speed=18 modulus=90 R=72 G=4
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,5,18) | (0,1,2,3) | () | 4 | 0 | 0
2 | (2,6,8,10,36) | (0,1,2,3) | () | 4 | 0 | 0
3 | (3,9,12,15,36) | (0,1,2) | (3) | 3 | 1 | 0
4 | (4,12,16,20,18) | (0,1) | (2) | 2 | 1 | 0
6 | (6,18,24,30,18) | (0) | () | 1 | 0 | 0
7 | (7,21,28,35,36) | (0) | () | 1 | 0 | 0
8 | (8,24,32,40,36) | (0) | () | 1 | 0 | 0
9 | (9,27,36,45,18) | (0) | () | 1 | 0 | 0
11 | (11,33,44,35,18) | (0) | () | 1 | 0 | 0
12 | (12,36,42,30,36) | (0) | () | 1 | 0 | 0
13 | (13,39,38,25,36) | (0) | () | 1 | 0 | 0
14 | (14,42,34,20,18) | (0) | () | 1 | 0 | 0
16 | (16,42,26,10,18) | (3) | (0) | 1 | 1 | 0
17 | (17,39,22,5,36) | (3) | (0) | 1 | 1 | 0
18 | (18,36,18,0,36) | (3) | () | 1 | 0 | 0
19 | (19,33,14,5,18) | (2,3) | () | 2 | 0 | 0
21 | (21,27,6,15,18) | (2) | (3) | 1 | 1 | 0
22 | (22,24,2,20,36) | (2) | () | 1 | 0 | 0
23 | (23,21,2,25,36) | (2) | () | 1 | 0 | 0
24 | (24,18,6,30,18) | (2) | () | 1 | 0 | 0
26 | (26,12,14,40,18) | (1,2) | () | 2 | 0 | 0
27 | (27,9,18,45,36) | (1) | () | 1 | 0 | 0
28 | (28,6,22,40,36) | (1) | () | 1 | 0 | 0
29 | (29,3,26,35,18) | (1) | () | 1 | 0 | 0
31 | (31,3,34,25,18) | (1) | () | 1 | 0 | 0
32 | (32,6,38,20,36) | (1) | () | 1 | 0 | 0
33 | (33,9,42,15,36) | (1) | (3) | 1 | 1 | 0
34 | (34,12,44,10,18) | (1,3) | () | 2 | 0 | 0
36 | (36,18,36,0,18) | (3) | () | 1 | 0 | 0
37 | (37,21,32,5,36) | (3) | () | 1 | 0 | 0
38 | (38,24,28,10,36) | (3) | () | 1 | 0 | 0
39 | (39,27,24,15,18) | () | (3) | 0 | 1 | 1
41 | (41,33,16,25,18) | () | (2) | 0 | 1 | 1
42 | (42,36,12,30,36) | (2) | () | 1 | 0 | 0
43 | (43,39,8,35,36) | (2) | () | 1 | 0 | 0
44 | (44,42,4,40,18) | (2) | () | 1 | 0 | 0
46 | (44,42,4,40,18) | (2) | () | 1 | 0 | 0
47 | (43,39,8,35,36) | (2) | () | 1 | 0 | 0
48 | (42,36,12,30,36) | (2) | () | 1 | 0 | 0
49 | (41,33,16,25,18) | () | (2) | 0 | 1 | 1
51 | (39,27,24,15,18) | () | (3) | 0 | 1 | 1
52 | (38,24,28,10,36) | (3) | () | 1 | 0 | 0
53 | (37,21,32,5,36) | (3) | () | 1 | 0 | 0
54 | (36,18,36,0,18) | (3) | () | 1 | 0 | 0
56 | (34,12,44,10,18) | (1,3) | () | 2 | 0 | 0
57 | (33,9,42,15,36) | (1) | (3) | 1 | 1 | 0
58 | (32,6,38,20,36) | (1) | () | 1 | 0 | 0
59 | (31,3,34,25,18) | (1) | () | 1 | 0 | 0
61 | (29,3,26,35,18) | (1) | () | 1 | 0 | 0
62 | (28,6,22,40,36) | (1) | () | 1 | 0 | 0
63 | (27,9,18,45,36) | (1) | () | 1 | 0 | 0
64 | (26,12,14,40,18) | (1,2) | () | 2 | 0 | 0
66 | (24,18,6,30,18) | (2) | () | 1 | 0 | 0
67 | (23,21,2,25,36) | (2) | () | 1 | 0 | 0
68 | (22,24,2,20,36) | (2) | () | 1 | 0 | 0
69 | (21,27,6,15,18) | (2) | (3) | 1 | 1 | 0
71 | (19,33,14,5,18) | (2,3) | () | 2 | 0 | 0
72 | (18,36,18,0,36) | (3) | () | 1 | 0 | 0
73 | (17,39,22,5,36) | (3) | (0) | 1 | 1 | 0
74 | (16,42,26,10,18) | (3) | (0) | 1 | 1 | 0
76 | (14,42,34,20,18) | (0) | () | 1 | 0 | 0
77 | (13,39,38,25,36) | (0) | () | 1 | 0 | 0
78 | (12,36,42,30,36) | (0) | () | 1 | 0 | 0
79 | (11,33,44,35,18) | (0) | () | 1 | 0 | 0
81 | (9,27,36,45,18) | (0) | () | 1 | 0 | 0
82 | (8,24,32,40,36) | (0) | () | 1 | 0 | 0
83 | (7,21,28,35,36) | (0) | () | 1 | 0 | 0
84 | (6,18,24,30,18) | (0) | () | 1 | 0 | 0
86 | (4,12,16,20,18) | (0,1) | (2) | 2 | 1 | 0
87 | (3,9,12,15,36) | (0,1,2) | (3) | 3 | 1 | 0
88 | (2,6,8,10,36) | (0,1,2,3) | () | 4 | 0 | 0
89 | (1,3,4,5,18) | (0,1,2,3) | () | 4 | 0 | 0

CASE RAW_DELETION_LIFT_REJECTION speeds=(1,3,4,7)
PIVOT index=0 speed=1 modulus=4 R=3 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,1,0,1) | (2) | () | 1 | 0 | 0
2 | (2,2,0,2) | (2) | () | 1 | 0 | 0
3 | (1,1,0,1) | (2) | () | 1 | 0 | 0

PIVOT index=1 speed=3 modulus=12 R=9 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,5) | (0) | () | 1 | 0 | 0
2 | (2,6,4,2) | (0,3) | () | 2 | 0 | 0
3 | (3,3,0,3) | (2) | () | 1 | 0 | 0
5 | (5,3,4,1) | (3) | () | 1 | 0 | 0
6 | (6,6,0,6) | (2) | () | 1 | 0 | 0
7 | (5,3,4,1) | (3) | () | 1 | 0 | 0
9 | (3,3,0,3) | (2) | () | 1 | 0 | 0
10 | (2,6,4,2) | (0,3) | () | 2 | 0 | 0
11 | (1,3,4,5) | (0) | () | 1 | 0 | 0

PIVOT index=2 speed=4 modulus=16 R=12 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,7) | (0,1) | () | 2 | 0 | 0
2 | (2,6,8,2) | (0,3) | () | 2 | 0 | 0
3 | (3,7,4,5) | (0) | () | 1 | 0 | 0
5 | (5,1,4,3) | (1,3) | () | 2 | 0 | 0
6 | (6,2,8,6) | (1) | () | 1 | 0 | 0
7 | (7,5,4,1) | (3) | () | 1 | 0 | 0
9 | (7,5,4,1) | (3) | () | 1 | 0 | 0
10 | (6,2,8,6) | (1) | () | 1 | 0 | 0
11 | (5,1,4,3) | (1,3) | () | 2 | 0 | 0
13 | (3,7,4,5) | (0) | () | 1 | 0 | 0
14 | (2,6,8,2) | (0,3) | () | 2 | 0 | 0
15 | (1,3,4,7) | (0,1) | () | 2 | 0 | 0

PIVOT index=3 speed=7 modulus=28 R=21 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,3,4,7) | (0,1,2) | () | 3 | 0 | 0
2 | (2,6,8,14) | (0) | (1) | 1 | 1 | 0
3 | (3,9,12,7) | (0) | () | 1 | 0 | 0
5 | (5,13,8,7) | (0) | () | 1 | 0 | 0
6 | (6,10,4,14) | (2) | (0) | 1 | 1 | 0
7 | (7,7,0,7) | (2) | () | 1 | 0 | 0
9 | (9,1,8,7) | (1) | () | 1 | 0 | 0
10 | (10,2,12,14) | (1) | () | 1 | 0 | 0
11 | (11,5,12,7) | (1) | () | 1 | 0 | 0
13 | (13,11,4,7) | (2) | () | 1 | 0 | 0
14 | (14,14,0,14) | (2) | () | 1 | 0 | 0
15 | (13,11,4,7) | (2) | () | 1 | 0 | 0
17 | (11,5,12,7) | (1) | () | 1 | 0 | 0
18 | (10,2,12,14) | (1) | () | 1 | 0 | 0
19 | (9,1,8,7) | (1) | () | 1 | 0 | 0
21 | (7,7,0,7) | (2) | () | 1 | 0 | 0
22 | (6,10,4,14) | (2) | (0) | 1 | 1 | 0
23 | (5,13,8,7) | (0) | () | 1 | 0 | 0
25 | (3,9,12,7) | (0) | () | 1 | 0 | 0
26 | (2,6,8,14) | (0) | (1) | 1 | 1 | 0
27 | (1,3,4,7) | (0,1,2) | () | 3 | 0 | 0

CASE PRIME_FORCING_REJECTION n=3 N=4 p=5 M=20 v=(1,3,4)
bad_set_sizes=(9,9,12) fibers=((1, 9), (1, 9), (4, 12)) Z0=0 Z1=13 P1_rhs=4
r | rho-vector | bad-indices | mu | safe
0 | (0,0,0) | (0,1,2) | 3 | 0
1 | (1,3,4) | (0,1,2) | 3 | 0
2 | (2,6,8) | (0) | 1 | 0
3 | (3,9,8) | (0) | 1 | 0
4 | (4,8,4) | (0,2) | 2 | 0
5 | (5,5,0) | (2) | 1 | 0
6 | (6,2,4) | (1,2) | 2 | 0
7 | (7,1,8) | (1) | 1 | 0
8 | (8,4,8) | (1) | 1 | 0
9 | (9,7,4) | (2) | 1 | 0
10 | (10,10,0) | (2) | 1 | 0
11 | (9,7,4) | (2) | 1 | 0
12 | (8,4,8) | (1) | 1 | 0
13 | (7,1,8) | (1) | 1 | 0
14 | (6,2,4) | (1,2) | 2 | 0
15 | (5,5,0) | (2) | 1 | 0
16 | (4,8,4) | (0,2) | 2 | 0
17 | (3,9,8) | (0) | 1 | 0
18 | (2,6,8) | (0) | 1 | 0
19 | (1,3,4) | (0,1,2) | 3 | 0
